Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1466287200.0 1303.0 107 183 196 NA NA 171 239 268 NA NA 9746 411 1156 NA NA 3232 333 647 NA NA
1466287200.0 1306.0 NA 177 413 0 NA NA 252 485 0 NA NA 418 1277 940 NA NA 327 1244 959 NA
1466287200.0 1310.0 NA 190 427 0 NA NA 262 501 0 NA NA 809 2404 1122 NA NA 539 2259 1131 NA
1466287200.0 1312.0 NA 191 423 0 NA NA 256 499 0 NA NA 784 2383 1146 NA NA 549 2274 1155 NA
1466287200.0 1314.0 NA 198 430 0 NA NA 261 507 0 NA NA 730 2548 1146 NA NA 483 2319 1162 NA
1466287200.0 1315.0 NA 176 415 0 NA NA 252 485 0 NA NA 575 1944 1124 NA NA 414 1876 1133 NA
1466287200.0 1316.0 NA 182 416 0 NA NA 252 487 0 NA NA 697 2118 1094 NA NA 519 2154 1102 NA
1466287200.0 1318.0 NA 182 428 0 NA NA 252 499 0 NA NA 532 2116 1110 NA NA 403 2047 1118 NA
1466287200.0 1319.0 NA 178 415 0 NA NA 252 484 0 NA NA 416 1517 1006 NA NA 324 1484 1019 NA
1466287200.0 1323.0 NA 175 411 0 NA NA 252 482 0 NA NA 558 2331 1034 NA NA 419 2295 1042 NA
1466287200.0 1325.0 NA 193 431 0 69 NA 260 505 0 112 NA 783 2006 1196 147 NA 506 1749 1208 169
1466287200.0 1327.0 NA 185 423 0 NA NA 252 496 0 NA NA 649 2253 1126 NA NA 462 2101 1134 NA
1466287200.0 1328.0 NA 190 427 0 NA NA 256 499 0 NA NA 802 2259 1165 NA NA 547 2184 1174 NA
1466287200.0 1331.0 NA 185 423 0 NA NA 252 491 0 NA NA 481 1517 895 NA NA 369 1466 905 NA
1466287200.0 1334.0 NA 190 424 0 NA NA 257 497 0 NA NA 754 2337 1161 NA NA 544 2220 1169 NA
1466287200.0 1336.0 NA 201 426 0 NA NA 262 507 0 NA NA 781 3520 1127 NA NA 489 2530 1137 NA
1466287200.0 134.802 NA 38 363 0 NA NA 88 434 0 NA NA 182 9484 355 NA NA 193 3136 367 NA
1466287200.0 134.806 NA 39 370 0 NA NA 89 444 0 NA NA 190 9990 377 NA NA 224 3260 390 NA
1466287200.0 134.807 NA 84 382 0 NA NA 146 465 0 NA NA 687 7987 321 NA NA 2927 2877 331 NA
1466287200.0 134.901 NA 174 373 0 NA NA 249 445 0 NA NA 1956 6093 457 NA NA 741 3165 464 NA
1466287200.0 134.905 NA 178 376 0 NA NA 257 448 0 NA NA 2251 7044 484 NA NA 842 3146 491 NA
1466287200.0 134.906 NA 192 380 0 NA NA 260 453 0 NA NA 2361 7140 329 NA NA 1104 3001 350 NA
1466287200.0 134.907 NA 213 389 0 NA NA 292 472 0 NA NA 2541 7145 340 NA NA 1420 3154 350 NA
1466287200.0 134.91 NA 185 375 0 NA NA 255 442 0 NA NA 1827 5665 358 NA NA 965 2640 369 NA
1466287200.0 134.911 NA 180 376 0 NA NA 258 447 0 NA NA 2518 7352 394 NA NA 880 3516 400 NA
1466287200.0 134.912 NA 174 368 0 NA NA 244 438 0 NA NA 1383 4201 314 NA NA 574 2373 327 NA
1466287200.0 1340.0 NA 196 419 0 NA NA 252 496 0 NA NA 657 2425 1163 NA NA 449 2305 1176 NA
1466287200.0 1344.0 NA 193 427 0 NA NA 255 497 0 NA NA 595 1855 1356 NA NA 436 1661 1367 NA
1466287200.0 1345.0 NA 202 423 0 NA NA 257 498 0 NA NA 771 2328 1148 NA NA 495 2115 1158 NA
1466287200.0 135.1 383 0 103 NA NA 485 0 161 NA NA 929 270 198 NA NA 912 282 193 NA NA
1466287200.0 135.2 334 0 97 NA NA 418 0 160 NA NA 526 156 173 NA NA 485 166 189 NA NA
